analysis_id,n_persons,person_days,n_events,incidence_start_date,incidence_end_date,person_years,incidence_100000_pys,incidence_100000_pys_95CI_lower,incidence_100000_pys_95CI_upper,cohort_obscured,result_obscured,outcome_cohort_id,outcome_cohort_name,analysis_repeated_events,analysis_interval,analysis_complete_database_intervals,denominator_cohort_id,analysis_outcome_washout,analysis_min_cell_count,denominator_cohort_name,denominator_age_group,denominator_sex,denominator_days_prior_observation,denominator_start_date,denominator_end_date,denominator_target_cohort_definition_id,denominator_target_cohort_name,cdm_name,result_type
1,99993,56149084,7966,2017-01-01T00:00:00Z,2022-06-30T00:00:00Z,153727.81382614648,5181.885959172549,5068.710266352868,5296.951530197168,FALSE,FALSE,1,Asthma,FALSE,overall,TRUE,1,NA,5,Denominator cohort 1,0 to 150,Both,0,2002-01-01,2022-12-31,NA,NA,PHARMETRICS_100k,Incidence estimates
10,6967,2922416,483,2017-01-01T00:00:00Z,2022-06-30T00:00:00Z,8001.138945927447,6036.640574100334,5510.217934207047,6599.790481735171,FALSE,FALSE,1,Asthma,FALSE,overall,TRUE,10,NA,5,Denominator cohort 10,13 to 17,Both,0,2002-01-01,2022-12-31,NA,NA,PHARMETRICS_100k,Incidence estimates
11,3526,1462740,251,2017-01-01T00:00:00Z,2022-06-30T00:00:00Z,4004.76386036961,6267.5355839041795,5516.081974858109,7092.790785156583,FALSE,FALSE,1,Asthma,FALSE,overall,TRUE,11,NA,5,Denominator cohort 11,13 to 17,Male,0,2002-01-01,2022-12-31,NA,NA,PHARMETRICS_100k,Incidence estimates
12,3441,1459676,232,2017-01-01T00:00:00Z,2022-06-30T00:00:00Z,3996.375085557837,5805.260893513355,5082.227085457336,6602.312107023157,FALSE,FALSE,1,Asthma,FALSE,overall,TRUE,12,NA,5,Denominator cohort 12,13 to 17,Female,0,2002-01-01,2022-12-31,NA,NA,PHARMETRICS_100k,Incidence estimates
13,19861,8333751,915,2017-01-01T00:00:00Z,2022-06-30T00:00:00Z,22816.566735112938,4010.2440065703904,3754.5783567174108,4278.736075693121,FALSE,FALSE,1,Asthma,FALSE,overall,TRUE,13,NA,5,Denominator cohort 13,18 to 29,Both,0,2002-01-01,2022-12-31,NA,NA,PHARMETRICS_100k,Incidence estimates
14,9580,4107671,354,2017-01-01T00:00:00Z,2022-06-30T00:00:00Z,11246.190280629706,3147.73262026097,2828.331947266924,3493.3286785441483,FALSE,FALSE,1,Asthma,FALSE,overall,TRUE,14,NA,5,Denominator cohort 14,18 to 29,Male,0,2002-01-01,2022-12-31,NA,NA,PHARMETRICS_100k,Incidence estimates
15,10281,4226080,561,2017-01-01T00:00:00Z,2022-06-30T00:00:00Z,11570.37645448323,4848.588999734979,4455.617192731833,5266.930993092042,FALSE,FALSE,1,Asthma,FALSE,overall,TRUE,15,NA,5,Denominator cohort 15,18 to 29,Female,0,2002-01-01,2022-12-31,NA,NA,PHARMETRICS_100k,Incidence estimates
16,16804,7810791,971,2017-01-01T00:00:00Z,2022-06-30T00:00:00Z,21384.780287474332,4540.612468058613,4259.470517357015,4835.435220986395,FALSE,FALSE,1,Asthma,FALSE,overall,TRUE,16,NA,5,Denominator cohort 16,30 to 39,Both,0,2002-01-01,2022-12-31,NA,NA,PHARMETRICS_100k,Incidence estimates
17,8034,3751603,373,2017-01-01T00:00:00Z,2022-06-30T00:00:00Z,10271.329226557153,3631.4676686205867,3272.241302940003,4019.362771148276,FALSE,FALSE,1,Asthma,FALSE,overall,TRUE,17,NA,5,Denominator cohort 17,30 to 39,Male,0,2002-01-01,2022-12-31,NA,NA,PHARMETRICS_100k,Incidence estimates
18,8770,4059188,598,2017-01-01T00:00:00Z,2022-06-30T00:00:00Z,11113.45106091718,5380.86681375684,4958.181134563588,5829.954208593767,FALSE,FALSE,1,Asthma,FALSE,overall,TRUE,18,NA,5,Denominator cohort 18,30 to 39,Female,0,2002-01-01,2022-12-31,NA,NA,PHARMETRICS_100k,Incidence estimates
