cohort_definition_id,cohort_name,age_group,sex,days_prior_observation,start_date,end_date,target_cohort_definition_id,target_cohort_name,number_records,number_subjects,reason_id,reason,excluded_records,excluded_subjects,cdm_name,result_type,cohort_table_name
1,Denominator cohort 1,0 to 150,Both,0,2002-01-01,2022-12-31,1,IBD,539,539,1,Starting population,NA,NA,PHARMETRICS_100k,Cohort details,denominator_target
1,Denominator cohort 1,0 to 150,Both,0,2002-01-01,2022-12-31,1,IBD,539,539,2,Missing year of birth,0,0,PHARMETRICS_100k,Cohort details,denominator_target
1,Denominator cohort 1,0 to 150,Both,0,2002-01-01,2022-12-31,1,IBD,539,539,3,Missing sex,0,0,PHARMETRICS_100k,Cohort details,denominator_target
1,Denominator cohort 1,0 to 150,Both,0,2002-01-01,2022-12-31,1,IBD,539,539,4,Cannot satisfy age criteria during the study period based on year of birth,0,0,PHARMETRICS_100k,Cohort details,denominator_target
1,Denominator cohort 1,0 to 150,Both,0,2002-01-01,2022-12-31,1,IBD,539,539,5,No observation time available during study period,0,0,PHARMETRICS_100k,Cohort details,denominator_target
1,Denominator cohort 1,0 to 150,Both,0,2002-01-01,2022-12-31,1,IBD,539,539,6,Doesn't satisfy age criteria during the study period,0,0,PHARMETRICS_100k,Cohort details,denominator_target
1,Denominator cohort 1,0 to 150,Both,0,2002-01-01,2022-12-31,1,IBD,539,539,7,Prior history requirement not fulfilled during study period,0,0,PHARMETRICS_100k,Cohort details,denominator_target
1,Denominator cohort 1,0 to 150,Both,0,2002-01-01,2022-12-31,1,IBD,539,539,10,"No observation time available after applying age, prior observation and, if applicable, target criteria",0,0,PHARMETRICS_100k,Cohort details,denominator_target
2,Denominator cohort 2,0 to 150,Male,0,2002-01-01,2022-12-31,1,IBD,539,539,1,Starting population,NA,NA,PHARMETRICS_100k,Cohort details,denominator_target
2,Denominator cohort 2,0 to 150,Male,0,2002-01-01,2022-12-31,1,IBD,539,539,2,Missing year of birth,0,0,PHARMETRICS_100k,Cohort details,denominator_target
2,Denominator cohort 2,0 to 150,Male,0,2002-01-01,2022-12-31,1,IBD,539,539,3,Missing sex,0,0,PHARMETRICS_100k,Cohort details,denominator_target
2,Denominator cohort 2,0 to 150,Male,0,2002-01-01,2022-12-31,1,IBD,539,539,4,Cannot satisfy age criteria during the study period based on year of birth,0,0,PHARMETRICS_100k,Cohort details,denominator_target
2,Denominator cohort 2,0 to 150,Male,0,2002-01-01,2022-12-31,1,IBD,539,539,5,No observation time available during study period,0,0,PHARMETRICS_100k,Cohort details,denominator_target
2,Denominator cohort 2,0 to 150,Male,0,2002-01-01,2022-12-31,1,IBD,539,539,6,Doesn't satisfy age criteria during the study period,0,0,PHARMETRICS_100k,Cohort details,denominator_target
2,Denominator cohort 2,0 to 150,Male,0,2002-01-01,2022-12-31,1,IBD,539,539,7,Prior history requirement not fulfilled during study period,0,0,PHARMETRICS_100k,Cohort details,denominator_target
2,Denominator cohort 2,0 to 150,Male,0,2002-01-01,2022-12-31,1,IBD,233,233,8,Not Male,306,306,PHARMETRICS_100k,Cohort details,denominator_target
2,Denominator cohort 2,0 to 150,Male,0,2002-01-01,2022-12-31,1,IBD,233,233,10,"No observation time available after applying age, prior observation and, if applicable, target criteria",0,0,PHARMETRICS_100k,Cohort details,denominator_target
3,Denominator cohort 3,0 to 150,Female,0,2002-01-01,2022-12-31,1,IBD,539,539,1,Starting population,NA,NA,PHARMETRICS_100k,Cohort details,denominator_target
3,Denominator cohort 3,0 to 150,Female,0,2002-01-01,2022-12-31,1,IBD,539,539,2,Missing year of birth,0,0,PHARMETRICS_100k,Cohort details,denominator_target
3,Denominator cohort 3,0 to 150,Female,0,2002-01-01,2022-12-31,1,IBD,539,539,3,Missing sex,0,0,PHARMETRICS_100k,Cohort details,denominator_target
3,Denominator cohort 3,0 to 150,Female,0,2002-01-01,2022-12-31,1,IBD,539,539,4,Cannot satisfy age criteria during the study period based on year of birth,0,0,PHARMETRICS_100k,Cohort details,denominator_target
3,Denominator cohort 3,0 to 150,Female,0,2002-01-01,2022-12-31,1,IBD,539,539,5,No observation time available during study period,0,0,PHARMETRICS_100k,Cohort details,denominator_target
3,Denominator cohort 3,0 to 150,Female,0,2002-01-01,2022-12-31,1,IBD,539,539,6,Doesn't satisfy age criteria during the study period,0,0,PHARMETRICS_100k,Cohort details,denominator_target
3,Denominator cohort 3,0 to 150,Female,0,2002-01-01,2022-12-31,1,IBD,539,539,7,Prior history requirement not fulfilled during study period,0,0,PHARMETRICS_100k,Cohort details,denominator_target
3,Denominator cohort 3,0 to 150,Female,0,2002-01-01,2022-12-31,1,IBD,306,306,8,Not Female,233,233,PHARMETRICS_100k,Cohort details,denominator_target
3,Denominator cohort 3,0 to 150,Female,0,2002-01-01,2022-12-31,1,IBD,306,306,10,"No observation time available after applying age, prior observation and, if applicable, target criteria",0,0,PHARMETRICS_100k,Cohort details,denominator_target
4,Denominator cohort 4,0 to 2,Both,0,2002-01-01,2022-12-31,1,IBD,539,539,1,Starting population,NA,NA,PHARMETRICS_100k,Cohort details,denominator_target
4,Denominator cohort 4,0 to 2,Both,0,2002-01-01,2022-12-31,1,IBD,539,539,2,Missing year of birth,0,0,PHARMETRICS_100k,Cohort details,denominator_target
4,Denominator cohort 4,0 to 2,Both,0,2002-01-01,2022-12-31,1,IBD,539,539,3,Missing sex,0,0,PHARMETRICS_100k,Cohort details,denominator_target
4,Denominator cohort 4,0 to 2,Both,0,2002-01-01,2022-12-31,1,IBD,539,539,4,Cannot satisfy age criteria during the study period based on year of birth,0,0,PHARMETRICS_100k,Cohort details,denominator_target
4,Denominator cohort 4,0 to 2,Both,0,2002-01-01,2022-12-31,1,IBD,539,539,5,No observation time available during study period,0,0,PHARMETRICS_100k,Cohort details,denominator_target
4,Denominator cohort 4,0 to 2,Both,0,2002-01-01,2022-12-31,1,IBD,539,539,6,Doesn't satisfy age criteria during the study period,0,0,PHARMETRICS_100k,Cohort details,denominator_target
4,Denominator cohort 4,0 to 2,Both,0,2002-01-01,2022-12-31,1,IBD,539,539,7,Prior history requirement not fulfilled during study period,0,0,PHARMETRICS_100k,Cohort details,denominator_target
4,Denominator cohort 4,0 to 2,Both,0,2002-01-01,2022-12-31,1,IBD,0,0,10,"No observation time available after applying age, prior observation and, if applicable, target criteria",539,539,PHARMETRICS_100k,Cohort details,denominator_target
5,Denominator cohort 5,0 to 2,Male,0,2002-01-01,2022-12-31,1,IBD,539,539,1,Starting population,NA,NA,PHARMETRICS_100k,Cohort details,denominator_target
5,Denominator cohort 5,0 to 2,Male,0,2002-01-01,2022-12-31,1,IBD,539,539,2,Missing year of birth,0,0,PHARMETRICS_100k,Cohort details,denominator_target
5,Denominator cohort 5,0 to 2,Male,0,2002-01-01,2022-12-31,1,IBD,539,539,3,Missing sex,0,0,PHARMETRICS_100k,Cohort details,denominator_target
5,Denominator cohort 5,0 to 2,Male,0,2002-01-01,2022-12-31,1,IBD,539,539,4,Cannot satisfy age criteria during the study period based on year of birth,0,0,PHARMETRICS_100k,Cohort details,denominator_target
5,Denominator cohort 5,0 to 2,Male,0,2002-01-01,2022-12-31,1,IBD,539,539,5,No observation time available during study period,0,0,PHARMETRICS_100k,Cohort details,denominator_target
